,rlb,rbl
0,0.06870907730157932,0.133462300364829
1,0.053581637775574044,0.10355534719311323
2,0.1084354220709823,0.13976082619506558
3,0.07157534112715105,0.09325819880961053
4,0.07602965197603152,0.09743604351674896
5,0.07828774789230124,0.08757364727554835
6,0.061809998822113243,0.05904873655473683
7,0.08025901711831854,0.1587212334023748
8,0.06274509674589494,0.08834365374696007
9,0.07014617801319294,0.1638950613589222
10,0.05632076090292263,0.1863931171516164
11,0.04054682675338518,0.054603205384240565
12,0.06961741770214942,0.09876284603136244
13,0.05101574960999238,0.06402182000160311
14,0.04377979896164264,0.03650184255998024
15,0.07430344010353386,0.09058884454719526
16,0.05782618657664691,0.1013838601481021
17,0.0625377080427279,0.1402021796756854
18,0.07792018490651076,0.15409813740754472
19,0.0843845578569336,0.11302160151002158
20,0.06741937349208105,0.174264705025181
21,0.07383614621840906,0.17458580565461151
22,0.0695165372941159,0.15980529129740179
23,0.08113964952216186,0.2306081790350141
24,0.049627051116180404,0.14279489217921235
25,0.05439892842372357,0.05129951974004201
26,0.07982981871309965,0.08318939705180195
27,0.07336311903030324,0.13518210192700056
28,0.05354838958727503,0.1308390905241208
29,0.08522668452450595,0.12716919621891085
30,0.06261361617573034,0.11840885364532676
31,0.06679831476959791,0.22471890201832845
32,0.043227826866743875,0.06272243111653351
33,0.05291578821557433,0.10401295790666623
34,0.0727044686393679,0.17388349241366924
35,0.06689542358788012,0.06921422987598908
36,0.08294724181196286,0.07400507795065449
37,0.08077478643180894,0.18977162588238483
38,0.08578924493014645,0.10372255341123046
39,0.037435976284517634,0.12456043332184262
40,0.034548449791035364,0.11702113968370816
41,0.021089626764806895,0.05318984412104558
42,0.06493635757767695,0.09017619693100426
43,0.0848813639970236,0.11471101831471733
44,0.06838579731088971,0.10195366113804281
45,0.08114621951156781,0.12761073901144745
46,0.07191218101125779,0.21253157304520814
47,0.06749596788513332,0.04761213195957327
48,0.05069849929852284,0.09087802329797566
49,0.03077185174164795,0.23700024437719255
