,bucket,ring,lattice
0,0.09394500947999716,0.01737717077652491,0.14451967893163326
1,0.0777559681975991,0.0159147936865017,0.004329845480069486
2,0.07858411783686825,0.013802420996406583,0.04007434471848933
3,0.09271431318748091,0.01033060606621465,0.1423966706338589
4,0.060814456137681695,0.03725135604034915,0.023156202770558743
5,0.06803453159916667,0.025580726146444816,0.06812957990023358
6,0.05813856172617588,0.03153213183068845,0.12917198979593647
7,0.08288353459829598,0.04348245243188004,0.0975259343096016
8,0.06745138579926648,0.019578006105507247,0.19260723494895757
9,0.08815839542446306,0.24580600473922995,0.13997751598347552
10,0.08498588376388022,0.008228131709659655,0.14104436878357954
11,0.0825507956239273,0.03179213350148921,0.26094873506131666
12,0.08995454938719541,0.01684674777188676,0.04168498702981906
13,0.09160035011799064,0.01772112916845252,0.1672734423707671
14,0.06040822823968172,0.026063101216015433,0.11647493719604897
15,0.07628592708206663,0.010827709981388767,0.06825783314544867
16,0.07399084324789484,0.004950953043530057,0.06296921938636035
17,0.08228493319237687,0.013557781042686907,0.22557670066314583
18,0.10650703552940996,0.033192803389615666,0.06872381612834409
19,0.051199674283165644,0.013297413103600428,0.1179957229740738
20,0.05206401719396843,0.03332819238830447,0.04685618990838424
21,0.08207198718489295,0.01792299505457427,0.14354211773264994
22,0.08116197140015122,0.0256675576083941,0.15826414302514832
23,0.09973364258052504,0.055358798757096095,0.028397357796545557
24,0.09617489712259535,0.02115437320112835,0.05917898566263273
25,0.0944009442371116,0.02812211883111576,0.10916683807306748
26,0.0858494842998851,0.01525749941559713,0.04073048339801453
27,0.06421898277820041,0.056385623226940886,0.033803274552899144
28,0.061099965040315216,0.038086392262601326,0.09200815566980314
29,0.06040061028102297,0.02510549931023843,0.03235890377550443
30,0.04799993021645086,0.027334945665652182,0.17046697007611816
31,0.09073433402886308,0.03718426401337969,0.04308775579032939
32,0.07082561437290051,0.013236943952306127,0.029652639200593384
33,0.07755620603083087,0.026155317414670597,0.06620913800987975
34,0.09774309556643127,0.03130689505842528,0.08650647160179402
35,0.08913081916221265,0.007781294935136609,0.04431942086128775
36,0.08990899142184905,0.019892542097260907,0.004659988800474769
37,0.09754702335969438,0.033968854370299874,0.03650652373241083
38,0.08872656765517557,0.01712411588735163,0.021421433060049094
39,0.08754952178897693,0.003480042676872497,0.05528151001902199
40,0.09257347290805092,0.0034906516806858454,0.12068300600136604
41,0.08995988207005665,0.01285278720055719,0.07288134844268453
42,0.05484510306501994,0.03656516292116152,0.08390838218358841
43,0.08669626233869136,0.007552597356454134,0.03699003371893993
44,0.08781275687002148,0.0314477132643609,0.014838374950532147
45,0.09456091156370793,0.025299939012291408,0.11626694604351304
46,0.09631366136943252,0.006732500647686062,0.11476292974520504
47,0.08918093728677652,0.033454624550118654,0.02535112504778246
48,0.09131322045763694,0.17606376074669,0.11841283458087763
49,0.09377802725201848,0.013204064111483487,0.08582270178123977
