,rlb,lrb,brl,blr,rbl,lbr
0,0.06870907730157932,0.35838804431380256,0.70760562169548,0.6408135313472978,0.133462300364829,0.4913945160259433
1,0.053581637775574044,0.41241602142612593,0.48419699359465823,0.3962084704411238,0.10355534719311323,0.6123605351560418
2,0.1084354220709823,0.44157782950420466,0.6326736668854541,0.5195226245865872,0.13976082619506558,0.46600730727692363
3,0.07157534112715105,0.46337304458979645,0.651903398795068,0.6674066074946725,0.09325819880961053,0.4925706134821349
4,0.07602965197603152,0.49403959695773403,0.6201298901742122,0.5937501654734298,0.09743604351674896,0.4958533099570615
5,0.07828774789230124,0.5098107574474356,0.6968403487610421,0.6585677361459824,0.08757364727554835,0.6599537351486696
6,0.061809998822113243,0.5569248342009576,0.6254578748948878,0.7429273583466338,0.05904873655473683,0.49687785113134436
7,0.08025901711831854,0.48972212404057375,0.7638541900672898,0.6626475867030609,0.1587212334023748,0.4628582522987293
8,0.06274509674589494,0.4792350378425053,0.7775552036005378,0.5532902233587446,0.08834365374696007,0.52901680174072
9,0.07014617801319294,0.4869005588144628,0.6476707983075892,0.648697434280346,0.1638950613589222,0.4774397080763625
10,0.05632076090292263,0.38500018426788035,0.5305491299304524,0.6259360730174318,0.1863931171516164,0.47197226526983244
11,0.04054682675338518,0.4198217841391422,0.709563305944504,0.7399613116458588,0.054603205384240565,0.4528032252993859
12,0.06961741770214942,0.38946395181097243,0.6417039822605041,0.6658993889195024,0.09876284603136244,0.4999336210322669
13,0.05101574960999238,0.4239527664722815,0.669379384553526,0.6723170479827869,0.06402182000160311,0.5055274109752674
14,0.04377979896164264,0.49071998260696076,0.6708814692020113,0.6440098816467007,0.03650184255998024,0.7002769783830591
15,0.07430344010353386,0.47764117306560294,0.6563802227006728,0.6802005171534026,0.09058884454719526,0.46988840725570163
16,0.05782618657664691,0.49367213783644565,0.584840368801701,0.5644804581675749,0.1013838601481021,0.4768684515122112
17,0.0625377080427279,0.4584449768030087,0.6205679094654276,0.5479919683627654,0.1402021796756854,0.44772505437579535
18,0.07792018490651076,0.46512637702005927,0.7104947677765812,0.6354486500723572,0.15409813740754472,0.493009162574799
19,0.0843845578569336,0.44776627523329143,0.5434177707442586,0.4904102046852646,0.11302160151002158,0.5087109757141672
20,0.06741937349208105,0.42446353278551985,0.5846315414612522,0.6412558485255747,0.174264705025181,0.4787097417598852
21,0.07383614621840906,0.6432462217586876,0.44538939701245184,0.5620974681546423,0.17458580565461151,0.4324342036047795
22,0.0695165372941159,0.6103929388611955,0.6238217288082124,0.7209740491227964,0.15980529129740179,1.5285751995703314
23,0.08113964952216186,0.4049469909506219,0.6991041752024031,0.5808738414417289,0.2306081790350141,0.4454961493986964
24,0.049627051116180404,0.47235929754378453,0.6430229965219825,0.6109396683764843,0.14279489217921235,0.5421317229922916
25,0.05439892842372357,0.4377985601363483,0.6703637919107639,0.6703538880458982,0.05129951974004201,0.8551715047605232
26,0.07982981871309965,0.5167581380606339,0.7229042776988678,0.6550973658844369,0.08318939705180195,0.5020334394430221
27,0.07336311903030324,0.44887994861544306,0.5591656938936191,0.5823105199440942,0.13518210192700056,0.4775125320475992
28,0.05354838958727503,0.47201043488244454,0.42613990093538434,0.505151762557877,0.1308390905241208,0.49514142414833223
29,0.08522668452450595,0.6437168218235649,0.5852114936722498,0.6105438134867505,0.12716919621891085,0.794113435460103
