,gtrain,gtest,ctrain,ctest
0,,0.5291409299630169,,0.5315274630268566
1,,0.5771993539600536,,0.5822578405629518
2,,0.6881106318988592,,0.6915092217479725
3,,0.5377345703388249,,0.5439466974122639
4,,0.5178958211024639,,0.4985569006523475
5,,0.7071732314242829,,0.7065857575025567
6,,0.6988032969574456,,0.6958982121728614
7,,0.6292353171147883,,0.6242940158918102
8,,0.560875082036055,,0.5356817919668339
9,,0.7251835727228328,,0.7269299307857471
10,,0.5694967795008029,,0.5817630224532474
11,,0.5334561586185532,,0.5346938086232413
12,,0.7276074988812904,,0.7280031249942369
13,,0.721770826166553,,0.7263237258526015
14,,0.6184757692293142,,0.619185633029749
15,,0.4856926467934885,,0.4741426284958002
16,,0.6700995011378373,,0.680800337279357
17,,0.6720222699187771,,0.6715923260489425
18,,0.4782666692251655,,0.4772790873534626
19,,0.5413277284636515,,0.5067144454055436
20,,0.6041998628189487,,0.6064671049189322
21,,0.5754951057978165,,0.5516887123881861
22,,0.6248533106085425,,0.632010254554746
23,,0.5815149700478291,,0.5838422648351115
24,,0.8012189997492175,,0.8113026951684171
25,,0.632186954307696,,0.62852185525954
26,,0.5489617883696055,,0.5547083618660127
27,,0.5228612093097136,,0.5219254731518613
28,,0.6401947382041874,,0.6417158464879269
29,,0.4942684796991705,,0.487410766032898
30,,0.5219300129331312,,0.5135338294091197
31,,0.532869928133254,,0.5301009551417684
32,,0.6755234769300403,,0.6839263701959786
33,,0.6622508119715949,,0.6597474006377834
34,,0.5676315731915789,,0.563263062865007
35,,0.486560611054714,,0.48953325295780253
36,,0.573469690628062,,0.5396386705308667
37,,0.5504989150229811,,0.5467631276584272
38,,0.7767776531758323,,0.771749822807745
39,,0.6696090329748638,,0.6717485485467889
40,,0.6023629556041654,,0.5961835016604208
41,,0.6765955815134952,,0.6729776207718469
42,,0.5765029978959095,,0.5821517574463853
43,,0.6347238614754996,,0.6312832409424205
44,,0.7277258880979948,,0.7287303305040078
45,,0.705769116471648,,0.7075512344257562
46,,0.6333754503472411,,0.6213366574611625
47,,0.6063848407364193,,0.6044913541947358
48,,0.6930056431679908,,0.6889123950139244
49,,0.6166588635564008,,0.6181973614856701
