,strain,stest,rtrain,rtest,ctrain,ctest,gtrain,gtest
0,,,,,,0.5116930946332607,,0.5432343426110647
1,,,,,,0.49145676775098573,,0.5122344908419928
2,,,,,,0.4689819160850222,,0.5043089549788603
3,,,,,,0.4951639900072316,,0.5078961573156484
4,,,,,,0.49847814959533426,,0.5079040100810299
5,,,,,,0.4809157520436916,,0.48626490284675056
6,,,,,,0.5033999873863846,,0.5193875065568877
7,,,,,,0.5171425223346602,,0.5292691332229876
8,,,,,,0.4611039794407272,,0.49243266114687584
9,,,,,,0.4756451346848622,,0.5081696505146197
10,,,,,,0.49373424612815775,,0.5022460487709943
11,,,,,,0.47645164425536185,,0.503788415220878
12,,,,,,0.4967375383607583,,0.5242908451317329
13,,,,,,0.46804278083738043,,0.5042897607482903
14,,,,,,0.5574846397967499,,0.5516344969734086
15,,,,,,0.4976239285758787,,0.5284153924084533
16,,,,,,0.46798337999164846,,0.4919206772389096
17,,,,,,0.490524373669518,,0.5205604331545829
18,,,,,,0.4685479278973275,,0.5102910501577389
19,,,,,,0.4821237876567605,,0.48763741742661953
20,,,,,,0.4921140778162783,,0.5100061657725045
21,,,,,,0.47177919881119357,,0.49954242499692697
22,,,,,,0.4819823260380412,,0.4940755697602677
23,,,,,,0.5056828753511208,,0.5286116650456671
24,,,,,,0.4861405155239345,,0.5146068859927875
25,,,,,,0.5034531077495961,,0.5443717726706754
26,,,,,,0.5194901851495106,,0.517813958623409
27,,,,,,0.5037564709033573,,0.5283919707369313
28,,,,,,0.5204291672159449,,0.5181939551592994
29,,,,,,0.4780571858244975,,0.5008635056012665
30,,,,,,0.49316360065094006,,0.5313733839966458
31,,,,,,0.5003213244063668,,0.546212707375766
32,,,,,,0.5048958604279642,,0.49694738635094254
33,,,,,,0.48319959750008196,,0.5075152099189483
34,,,,,,0.5019791876639575,,0.5023298629711928
35,,,,,,0.5067412082617773,,0.4836194979560291
36,,,,,,0.46771471326460695,,0.5072417051437801
37,,,,,,0.4886624130336897,,0.5240433881510945
38,,,,,,0.49310123665471217,,0.5115284247139685
39,,,,,,0.47405844850167894,,0.5131692156167301
40,,,,,,0.5064933584874728,,0.5146320755911864
41,,,,,,0.47378719504993744,,0.5341243181207552
42,,,,,,0.5110440852997022,,0.5163152260870497
43,,,,,,0.513289458217084,,0.5336919147225665
44,,,,,,0.48613716324553446,,0.5066116274287878
45,,,,,,0.5219171245585763,,0.5090683544558957
46,,,,,,0.49285095387690026,,0.5086033042208582
47,,,,,,0.46358946893758674,,0.47984303352084884
48,,,,,,0.4909988695810055,,0.5231952953602144
49,,,,,,0.4965760257637901,,0.5428274413925724
