,stest,sstest,rtest
0,0.009250269340871725,0.006922728272602031,0.008416861643127558
1,0.014303252600590283,0.013326707951352082,0.04378486467997459
2,0.007724991531162297,0.020569893954935192,0.0473645775243003
3,0.014893815802342945,0.007468072004751099,0.036852356489622214
4,0.01170906448420971,0.007190761089372763,0.012492574788846389
5,0.009651430686231033,0.0049330257868897545,0.030516595491920477
6,0.011329108968591609,0.012373117024367728,0.04261762068040235
7,0.015232068374161087,0.009644529128742358,0.058473380343531105
8,0.00833961373862104,0.00917448653625484,0.019908895007141263
9,0.011389747819644419,0.012714600382961468,0.016508559089364067
10,0.009933571352523944,0.006092734276943155,0.012120151107039123
11,0.008876462644783928,0.009792322185752239,0.03729413212931323
12,0.013072776362602494,0.012985575687816846,0.013730725922437481
13,0.006502639454770524,0.012790007279629496,0.013290633764783828
14,0.006134873675849736,0.007269050310611374,0.009734935090248505
15,0.005879496280373537,0.006935292674093786,0.031781351264166306
16,0.007477775651586767,0.011709469407967727,0.024977448401785205
17,0.005821402328266516,0.005345834952699977,0.02450614536021174
18,0.009192456510226852,0.009963806614102755,0.050279315532707015
19,0.012016055066584245,0.009703110102335193,0.024171914112577585
20,0.016270465288058863,0.010438323698683156,0.02609279856222074
21,0.011102467467419906,0.009138616285751366,0.020507971495534804
22,0.009561575301966569,0.006578470007316946,0.01563036732428745
23,0.0075448473037993,0.010355052321162652,0.024559952573700104
24,0.008481721197536922,0.009071892226908452,0.03843463589685045
25,0.008898685811962796,0.017231258743766093,0.02758683670913417
26,0.01154698501251542,0.011806711164584925,0.0177674287049541
27,0.0071717215533274445,0.00886214558737844,0.02897447276298748
28,0.011082301459612079,0.011783242827347497,0.03647388348021018
29,0.01572104513077474,0.007317880772198752,0.014104048399502236
30,0.009989568364072903,0.00706317446111794,0.017286389447802704
31,0.008293277286472911,0.00665114203593,0.042469290689232976
32,0.00792513135988222,0.009486541672786938,0.03515472052505176
33,0.007399749858122423,0.009266487754568006,0.029061265427803663
34,0.008993109213659176,0.020772757389943632,0.024171914949984656
35,0.00863119141942569,0.00970052710286475,0.031437741096376114
36,0.00913862368502894,0.007039105111112041,0.016683539573833894
37,0.007777016633057005,0.012447493090932992,0.03245105908680127
38,0.01055423234825939,0.009512547200148092,0.0679121488514153
39,0.0151964817729635,0.011119471475333495,0.022462000126618576
40,0.007464477400383424,0.005821719267654587,0.030467178087922264
41,0.004289855934072451,0.005464988406917673,0.040742778056301165
42,0.008301146516259962,0.009553509227310346,0.016180620922964156
43,0.007874066558169536,0.013753100938939503,0.019153933445556864
44,0.00987482388005743,0.01303814235684903,0.015165755937768796
45,0.012381839753633524,0.012048220657025472,0.035561725706381754
46,0.005638910936100845,0.012319382026059839,0.07080440160152325
47,0.0075839607512486525,0.006873267137975162,0.0400461027215606
48,0.009221413298513195,0.007296421692037809,0.014247442368938958
49,0.010414223765456006,0.010176005877002285,0.0369260017812996
