,strain,stest,rtrain,rtest,gtrain,gtest,ctrain,ctest
0,,0.007606924554645413,,0.059966202960301515,,0.01125332564169041,,0.010652892202714181
1,,0.018697652335404234,,0.015192613382016251,,0.044338530062681604,,0.045727273240556615
2,,0.00346206210972233,,0.028070506552268438,,0.007808824513235055,,0.006481603512206196
3,,0.0037802404753547987,,0.02530440627082452,,0.10621375879986207,,0.09325997519902327
4,,0.004131195791250682,,0.015026230347879423,,0.12733547596312328,,0.13512363440872813
5,,0.006752452800581413,,0.03176829012637677,,0.08652644655032198,,0.07832218464564927
6,,0.014823359534497683,,0.037341115570166575,,0.16088235201995862,,0.15399244231240264
7,,0.005510859008454555,,0.2122955209815794,,0.0663805244046043,,0.05977662490165774
8,,0.01059355497866254,,0.10686449810783748,,0.12518637558784043,,0.10039279593407392
9,,0.00724054773248926,,0.05481429184987061,,0.053704849019799855,,0.0523596870892384
10,,0.0024119147709764344,,0.005467425794687603,,0.021463194155656097,,0.017173415630996565
11,,0.014735690960903384,,0.2880753202099403,,0.20928184610920694,,0.19846214856245162
12,,0.006813742109674185,,0.6292771100379686,,0.20609366408544724,,0.1708470804550344
13,,0.01166937567755093,,0.008026264048033166,,0.044753699868755416,,0.030912892328207063
14,,0.00338105607367421,,0.05043058711785813,,0.1251982194599383,,0.12555324048810843
15,,0.0040978406161593485,,0.011599708972227743,,0.01082968659489327,,0.013742544991300017
16,,0.00384991177272172,,0.03678695147166575,,0.023946235608203578,,0.01998120669990829
17,,0.0075313997512874474,,0.07078136799801922,,0.009119465659150765,,0.0073272479567278274
18,,0.00248589903111658,,0.6378465735563297,,0.09868758361137045,,0.0803261562673821
19,,0.006044928319441391,,0.022088080501608365,,0.08135402227335971,,0.07347597439233444
20,,0.012391350440869538,,0.04664351683394795,,0.09811784855978967,,0.09789408091840285
21,,0.0027798480109705727,,0.03217030017854706,,0.058811499381688254,,0.058620015218649964
22,,0.0032253807755032947,,0.037341478241048526,,0.1386035037208364,,0.1265014916266989
23,,0.0028066670258844943,,0.009763253859743895,,0.05340472254015057,,0.04571911291734153
24,,0.0031922239748176065,,0.0399596906036127,,0.21503776453596993,,0.18491974531866406
25,,0.011973755828291717,,0.014903529141682498,,0.036629477314205905,,0.029749801063072335
26,,0.004521158883020818,,0.06372292891963424,,0.028816161807659932,,0.028490212371899668
27,,0.011049914054412534,,0.016443233232613125,,0.017434504253785288,,0.016821518646990267
28,,0.003953228843403256,,0.08446970438233221,,0.07842995540100972,,0.06995581824311249
29,,0.005758680201594225,,0.049468666830702036,,0.08913271739291452,,0.08327993532800901
30,,0.003741627965709892,,0.011677604455186225,,0.09158100567105065,,0.0737246838127363
31,,0.00305904624504653,,0.013208527364055795,,0.11220300828461743,,0.10308407522751234
32,,0.003736772892784346,,0.03954371272960981,,0.055921792949232836,,0.04885396813750031
33,,0.00845304616804208,,0.033560027417864964,,0.058369084894753634,,0.054451319641479826
34,,0.010794374297449404,,0.030108467753564388,,0.1826489136938518,,0.16054212923775849
35,,0.006886452326122664,,0.032971371399528396,,0.0686786194695992,,0.06901715175287662
36,,0.0044926740820289066,,0.046746393316539875,,0.08302733706772551,,0.08182729570071959
37,,0.0030151408942042557,,0.028819547851491753,,0.008345320531197646,,0.006806710479992241
38,,0.00985777304337773,,0.055671401622030325,,0.19616542264357717,,0.20087661810292531
39,,0.0033072921378374184,,0.008084977022556466,,0.03759401905281723,,0.030647821968587775
40,,0.002511714592161751,,0.013027641560204382,,0.03576632291747147,,0.026424633747774148
41,,0.003286970514414663,,0.03295750178378748,,0.20649632209352745,,0.1987820937092853
42,,0.005423292765939908,,0.05481083734525592,,0.06581512417314964,,0.06379446165741545
43,,0.010018080239572846,,0.013195143146740798,,0.10432576487672378,,0.07322157120665385
44,,0.00782621757692895,,0.0256946620645768,,0.056513411193390414,,0.0371387981368246
45,,0.006358285710149176,,0.012803402279023254,,0.030963548548656454,,0.02464573514964774
46,,0.0030473676642963536,,0.01895763341890458,,0.06106457669858138,,0.054715676818744306
47,,0.008268554608186136,,0.01484496266532599,,0.01159320314616133,,0.01350475478004097
48,,0.005291973719192404,,0.04534528738578462,,0.11317784473596326,,0.08836778850680882
49,,0.0034370335618049597,,0.0808405803021978,,0.24505110069760408,,0.2768475256982373
