bucket,delayline,maglattice
0.0233122786154643,0.0079699983110847,0.8605323377536229
0.0516264971448952,0.0067866978478223,0.8090158699404151
0.027414955030618,0.004278019617809,0.1992268283671763
0.0384186834072548,0.0155625108818883,0.3272632966945195
0.0901514274065913,0.007511700737058,0.0513436796319047
0.0628029426587093,0.006593100845808,0.1347062740028706
0.1017909716824567,0.0152160611371213,0.2303757870283708
0.0110787812334579,0.0066572941851168,0.1372811363892854
0.0679663455976985,0.0151978495083791,0.5395248144680753
0.051868728649476,0.0214740243400461,0.1765323549398719
0.0268185699092119,0.0073737266020547,0.4123874505987971
0.0593748012914853,0.0067851843894028,0.1079909055231308
0.0348265925716212,0.0185541289906664,1.0
0.0310018269484531,0.0027747148900337,0.0836047042718943
0.0487841235864441,0.0344977841844843,0.2837531197759492
0.0268551379528572,0.0051685177766228,0.1320087990133715
0.0513078219665586,0.0117133165413222,0.175416483097049
0.0666304728865927,0.009711973648849,0.7038536713556999
0.042336481360675,0.0318246026238521,0.583481239748973
0.0675935570319277,0.003193991444334,0.1875689778506531
0.0131252373338013,0.0076747460683141,0.0407134954362931
0.1254608847820863,0.0057797615164492,0.1468965183856803
0.0179773478725858,0.005908630238752,1.0
0.0262010865462649,0.0110813988201025,0.08558749599968
0.0576397723377843,0.0077700629348337,0.2568907050112905
0.0363915564761626,0.0116584704093021,0.0790746867731645
0.0191070448453183,0.02179971795065,1.0
0.1304594857125646,0.005862063830213,0.1082064690484754
0.0857585937948129,0.0167762215653448,0.3975334822128774
0.0814286675704715,0.0239715971532448,0.3772672242178214
0.0370450131949574,0.0062709725042646,0.118040774582604
0.0856614957212954,0.0079616557674184,0.6105480531589019
0.0726660203581244,0.0116856030782745,0.1521990752711234
0.0313986600473127,0.005709810256406,0.0833709751155267
0.0430941585020881,0.0125693053476621,1.0
0.006548660560291,0.0064891380882958,0.0810821621440027
0.0811331652155784,0.0151996834398011,0.1309154964421081
0.0457563659452526,0.024297712391965,0.0864911970235646
0.0596644305281898,0.0086479096641434,0.0845230496647466
0.0630540266169406,0.0275237449602179,1.0
0.037448242710165,0.0206229991802369,0.0217716500979974
0.0433150653097094,0.004924694619665,0.51358995289593
0.0618656000288017,0.012087480216377,0.3328619259687194
0.0535204143885025,0.0082377178973941,0.0766908313352587
0.0443233015551822,0.0068130384530219,0.0661980661119336
0.0446170048676373,0.0112960864666221,0.0377743864993824
0.0084834341615778,0.0059039097899804,0.0332366923719644
0.1044297551399119,0.0083969763068249,0.0537400296373522
0.1057042651064016,0.0086621807008661,0.0415018664402346
0.0767042756756624,0.0066382094496316,0.2487588831306161
