,strain,stest,rtrain,rtest,gtrain,gtest,ctrain,ctest
0,,1.2625080235989072e-05,,0.009604545128963773,,1.1004335841143822e-05,,1.1067342759248614e-05
1,,1.1737625252007666e-05,,0.0017736554785247722,,1.1141132041584205e-05,,4.966036179972463e-05
2,,1.1095028986847058e-05,,0.0020510702154024085,,0.002015370638577652,,1.450206102853062e-05
3,,1.1115946662356914e-05,,0.08791710466013285,,0.0005228018562919556,,1.2789263701552128e-05
4,,1.642028509142421e-05,,0.0003217725380418527,,0.0013067722229911521,,1.2543451986070418e-05
5,,1.1196595782166236e-05,,0.002168406657644549,,2.8816942631821923e-05,,7.666746199640847e-05
6,,2.079862978754172e-05,,1.1043542781736026e-05,,0.0007683951243855811,,1.1278286647933042e-05
7,,3.06288015533999e-05,,2.851427294691866e-05,,1.0988379500286826e-05,,1.152200004669969e-05
8,,1.2812848030138017e-05,,0.1777017259963097,,0.007431046442126866,,1.659203220834578e-05
9,,1.0946630185756206e-05,,2.4929951533150306e-05,,1.2361192881532802e-05,,1.8602068148012284e-05
10,,1.0949074341539497e-05,,6.423897757579082e-05,,1.4587836358953533e-05,,1.104963995716328e-05
11,,1.3067885711909862e-05,,5.00749800805407e-05,,1.193638518492476e-05,,1.2613543116043337e-05
12,,1.0986344715212446e-05,,0.5456094955055725,,3.291779982090195e-05,,1.1750243250720366e-05
13,,1.0959790596720284e-05,,0.04366048821947157,,0.0033358634001751973,,1.535482087414309e-05
14,,1.1442324449793378e-05,,1.8289649116075846e-05,,1.880881474609018e-05,,1.1160286782888268e-05
15,,1.2342717695918225e-05,,0.00037245946034182657,,0.0009307342118432968,,0.00010665994797403797
16,,1.094270328666358e-05,,0.004857920410927963,,2.3549722247566903e-05,,1.1472008391861463e-05
17,,1.4281554467529711e-05,,0.0003016167363924707,,0.0037849672072604486,,4.007240770343994e-05
18,,1.1942724858801509e-05,,0.159226466594154,,3.339152162847346e-05,,1.5620328578974223e-05
19,,1.2094317657087996e-05,,0.0002822917480520867,,1.199472247634833e-05,,1.755578265975736e-05
20,,1.1443720769871768e-05,,0.002039323341379107,,4.8392103869067265e-05,,1.9116270284041525e-05
21,,1.1873440242510874e-05,,2.4062196458059247e-05,,2.6670338211979402e-05,,1.926109249730878e-05
22,,1.122658812666396e-05,,0.21852786551201628,,1.1454116193061978e-05,,1.5458119766354664e-05
23,,1.276508086979346e-05,,0.00858566639947614,,4.087065502657046e-05,,1.3890309713334534e-05
24,,1.1336055616679617e-05,,4.546798156804809e-05,,0.003068959869887649,,1.2766839602030219e-05
25,,1.2690079898500251e-05,,0.00014147443298448645,,0.006961953438736845,,1.900503826882748e-05
26,,1.2079973630583368e-05,,0.00013110030357250222,,0.002534341456318117,,1.162419128940289e-05
27,,1.0935498390023993e-05,,0.0005930986272611606,,0.007450731531973524,,1.1463626394540468e-05
28,,1.2003796591204685e-05,,0.003115688279456074,,0.0001363705820421377,,2.9045718625657893e-05
29,,1.12561104952616e-05,,9.4018851907609e-05,,3.4064955388317854e-05,,2.710491990954909e-05
30,,1.2003470335648902e-05,,2.899548527988777e-05,,5.0749638716869384e-05,,2.9518203655464547e-05
31,,1.5254007443312185e-05,,8.223135641082217e-05,,9.117256617220114e-05,,1.3578702596103094e-05
32,,1.1024238661511354e-05,,0.27948438022266514,,1.3748067982620833e-05,,7.117698842066491e-05
33,,1.4914855917604306e-05,,0.00019956289236217078,,1.1667592355579843e-05,,0.0004762619875285732
34,,5.4638511353796445e-05,,0.08555842180781124,,1.4262395893936206e-05,,1.7607942092668348e-05
35,,1.1305014117982238e-05,,0.00030859293031093425,,0.00015440065077455635,,1.3202530980114407e-05
36,,1.0934899979574157e-05,,2.347744571003183e-05,,0.00023982163982827902,,2.7506407123472647e-05
37,,3.1759242725818386e-05,,0.009699853918372109,,0.0011609178973932583,,1.205468658920254e-05
38,,1.1414388336424779e-05,,0.01590214719165201,,2.1911203357446748e-05,,2.2506689715173027e-05
39,,1.3065892871291804e-05,,0.00011029515555796052,,0.0018426393947409583,,1.4961304243136187e-05
40,,1.9889397706357236e-05,,0.00014339514108008657,,0.0008942703169377979,,1.1094837641680931e-05
41,,1.1262750942891307e-05,,1.790182384943221e-05,,4.7239323783001834e-05,,8.050277766917257e-05
42,,1.4431408940319748e-05,,0.35520568287671067,,5.3036363116567303e-05,,1.6968078212750754e-05
43,,1.291372750332792e-05,,4.449669284292977e-05,,0.002823498947880871,,1.395188202351015e-05
44,,1.6336019435669285e-05,,0.04911051143511146,,0.0003198875737107467,,1.6102630674603066e-05
45,,1.1289738217243607e-05,,0.7807529444270359,,1.9634506249974876e-05,,1.1476941327311063e-05
46,,1.105597789764734e-05,,0.0005752755295548703,,1.3927534938836892e-05,,2.736496606075175e-05
47,,3.5596896896134147e-05,,0.029593582733942792,,3.5586064695847605e-05,,1.5534667830748903e-05
48,,1.1355091756418489e-05,,0.002775446459638338,,1.3528619698682633e-05,,1.8433588717653e-05
49,,1.4554399071136969e-05,,0.0003813658705072879,,0.00219996458243297,,3.740869463898112e-05
