,Unnamed: 0,bucket heart,ring heart,lattice heart,bucket chest,ring chest,lattice chest,bucket blood,ring blood,lattice blood
0,0,0.4000564959673315,0.3620242341643035,0.3840263180538666,0.9175037374599144,1.0,1.0,0.1666323924182297,0.1221096114992505,0.4403521404846905
1,1,0.4535753116070818,0.3542477111600489,0.3999570180843469,1.0,0.9875041945642694,1.0,0.2351174611359603,0.1222830004432559,0.153078758773054
2,1,0.4458401520599861,0.3475802504319885,1.0,1.0,1.0,1.0,0.2325110800922278,0.1156536940749041,1.0
3,1,0.4139481896107487,0.3539131010142148,0.3646844141298668,0.98039024593262,0.9954818457787477,0.9105837575666814,0.2130180802935679,0.1350797088819563,0.1219214913663034
4,1,0.4369472680731439,0.3619794016407739,0.3725579762897376,1.0,0.972110237431748,0.9301894481999748,0.2429343544893628,0.1189992077202868,0.1159999944536123
5,1,0.4438519235049252,0.3611026713897481,0.3861075548025732,1.0,0.9761149454994004,0.9515605468907276,0.2498414996787602,0.1195848947504372,0.1254732154315989
6,1,0.4178743703222155,0.3647601056061974,0.3678306113839633,1.0,1.0,0.8860460850096655,0.1992569290884702,0.1276799063588307,0.1163144937063013
7,1,0.4290838415302652,0.3501812816904488,0.3698667925154906,1.0,0.9933773675589996,1.0,0.2069167150577417,0.1086799768890203,0.1173284060062663
8,1,0.4363782078340709,0.3516642820564141,0.4444964295569493,1.0,0.988358423429726,1.0,0.2756221519145808,0.1159522629047826,0.1968725565599465
9,1,0.4132461263015685,0.3479823879899931,0.8031174352122614,0.8983174421658453,1.0,1.0,0.2093801709405376,0.1143727668534474,0.7263749334278873
10,1,0.4435212260846547,0.3670380513286522,0.3815021224691864,1.0,1.0,1.0,0.2521466443650987,0.1244726933620643,0.130725739455034
11,1,0.4461006321271721,0.3438040674162782,0.5095421340998434,1.0,1.0,1.0,0.2158674778632344,0.1315112842001037,0.2450548745805103
12,1,0.4486667435334763,0.3441401383179576,0.498273684924805,1.0,0.9840156500297892,1.0,0.2282853634572742,0.1208991795898649,0.2793817670765708
13,1,0.4519194944009665,0.3521848261173002,0.5205023284677578,1.0,0.9812920353958692,1.0,0.2257678227014831,0.1235877741919928,0.4822922171625682
14,1,0.451627222525815,0.352602986601539,0.4885042479068885,1.0,1.0,1.0,0.2325948961134032,0.1125513509840796,0.2445633273686236
15,1,0.4242734682867984,0.3620652468521821,0.3876344216285003,1.0,0.9835652118804696,0.9506523964401254,0.210439930271172,0.1132095556413681,0.1300702455748696
16,1,0.4618748445804408,0.3524224292128129,0.3822401733357075,1.0,0.9478839378123384,1.0,0.2616809519511309,0.1262858412130706,0.1501055372310437
17,1,0.4422218854123508,0.3832728279199129,0.3681300541576399,1.0,1.0,0.915329358866637,0.2136316195277272,0.1158429158199986,0.1324037974461853
18,1,0.440389728166758,0.3604206495148322,0.531530417967293,1.0,1.0,1.0,0.2280076998344919,0.1329521496603407,0.1981277016351083
19,1,0.428681139797979,0.3595573847795434,0.385114592651481,1.0,0.9780919508349264,0.9040719351355196,0.2434836235783206,0.1194716900006431,0.1525745045130143
20,1,0.4432427316959336,0.356673781378632,0.3812384452607491,1.0,1.0,1.0,0.2361714667297883,0.1185511574407616,0.1138063418371876
21,1,0.4520637000123336,0.3598534148785668,0.413830061687365,1.0,0.9392159456176216,1.0,0.2365016268756219,0.1190801921325331,0.1458493335216792
22,1,0.4708711995532239,0.3659957780033641,0.3817599668263488,1.0,1.0,0.9049594378361008,0.2469412926557784,0.1284825348472733,0.1282837558247581
23,1,0.4477976325368684,0.350079646261875,0.3863575096584135,1.0,0.9297559949685174,0.955892282526046,0.252742540995953,0.1195039707396266,0.1365666571791227
24,1,0.4464358572257553,0.3400061007146655,0.375739280138368,1.0,0.9947308044676588,0.9184307544459848,0.2263604056572484,0.1160459101324285,0.1242001501128561
25,1,0.4268783146771387,0.3610341431646852,0.3744257208087719,1.0,0.937400797321438,0.9336783364370556,0.2047038238351807,0.1184667800391588,0.1267470231448608
26,1,0.4398010528546404,0.368639947104159,0.3726815209075562,1.0,0.9539959076784814,0.980369089808109,0.2215301013622932,0.1177304894799008,0.1305630906227972
27,1,0.3795280438481685,0.3690733711077048,0.3930055100493062,0.984327729421876,0.9795049212112604,0.9413461674200432,0.1399237996634116,0.1274308165529233,0.1382013876384487
28,1,0.4315107953773136,0.3591050009787208,0.3833641277947393,0.9957381536492984,1.0,0.925685977358995,0.2144739667438823,0.1171483004498152,0.1382108154678861
29,1,0.432578011239909,0.3463465178391803,0.3626204824494652,1.0,1.0,0.9218562821394068,0.2056271605634677,0.1185411250278149,0.1313375646437561
30,1,0.4029492198965413,0.3624071767980473,0.3755761233898574,0.9776302555060424,0.981182864169606,0.9398821305693098,0.1944746360571405,0.1139565834271071,0.1653112998542942
31,1,0.426313248648944,0.364505842432599,0.3754287266811976,0.9305229376138692,1.0,0.8608724876882242,0.2065868528814371,0.1140656536802287,0.1403329252827804
32,1,0.4479300719310631,0.3559209740372214,0.5710920637268765,1.0,0.9625138296431952,1.0,0.249220374052514,0.1215152594925595,0.4610259882024852
33,1,0.4285664762207399,0.3492373845278569,0.3806401556316198,1.0,1.0,1.0,0.2199633732707379,0.1200463401971435,0.1413879699144287
34,1,0.4260440969900081,0.3728894860238982,0.4168862107742556,1.0,1.0,0.9801639563087532,0.236389698682595,0.1212729543421722,0.160436035697851
35,1,0.4374160860830038,0.3505448672850736,0.4105649084572293,0.9226213386714446,1.0,1.0,0.2319772141208122,0.1155830805627172,0.1510507057565022
36,1,0.3654095240089442,0.3421637673377792,0.36492990984199,0.9382419890988852,1.0,0.8886020664780424,0.1371558953517438,0.1194012453974963,0.1680843373150802
37,1,0.3935108886802629,0.3789267751257868,0.369792561074317,0.9547040510678344,0.964332140935597,0.8965911265780325,0.179254378154313,0.1191868042834758,0.1334508500379188
38,1,0.4481967898296614,0.355671286781563,0.3775920449329679,1.0,1.0,0.9233306756606352,0.2305258792484859,0.1227012714401013,0.1299374895072013
39,1,0.460316208274289,0.3490507242847557,0.6573183574389586,1.0,1.0,1.0,0.2422216976781482,0.1222649000319726,0.7443817015656006
40,1,0.4210561364765344,0.340131849338947,0.8370179013658603,1.0,0.9518144926011752,0.9481131554729424,0.2229930891030309,0.1235425763868369,0.208021950499809
41,1,0.4329485354290062,0.3564044028875544,1.0,1.0,1.0,1.0,0.2420600925263643,0.1173963584901821,0.5649194227766201
42,1,0.4352357372061715,0.3495764719192621,0.3578287127358286,1.0,1.0,0.9124311780803784,0.226196195083432,0.1186829055484862,0.1163475210289362
43,1,0.4102349734647925,0.3533641893293645,0.4341323285636289,0.9784845120179088,1.0,1.0,0.1918812482021922,0.1183385065565817,0.1378605097167197
44,1,0.4336919541694829,0.3539212751868895,1.0,1.0,0.984806064183489,0.970346819416519,0.2294848431022979,0.1143315120057166,0.7099084075490689
45,1,0.429511286231632,0.3673933980012618,0.3914426500190621,1.0,0.9680463002483112,0.9608863055318876,0.2378649715779324,0.1180415760370255,0.139237964670395
46,1,0.4470580361092111,0.3558986421414168,0.37548447064515,1.0,1.0,0.8925765076375667,0.2460192654324169,0.1202385905521605,0.1557822777900867
47,1,0.4291430647327999,0.3434134635286891,0.5606433158233665,1.0,0.9361098192518474,1.0,0.2382731025411637,0.1165943562417358,0.1901011800391447
48,1,0.4434908134936987,0.3442307001351658,0.3792634641492755,0.9814563011917664,1.0,1.0,0.2365122798633275,0.1134304517385551,0.1515556231368261
49,1,0.4385316072205659,0.3626545388812786,0.3947296240237214,1.0,1.0,1.0,0.2282660025648717,0.1314661969650284,0.1390120284657124
