,Unnamed: 0,heart,chest,blood
0,0,0.720490241165092,1.0,0.2183025020706018
1,1,0.6887915451864233,1.0,0.2091393709944987
2,1,0.6802606899635399,1.0,0.2510922387886083
3,1,0.5036453952933313,1.0,0.1508676602838625
4,1,0.6952604871759146,1.0,0.2644306575296517
5,1,0.6630516217073218,1.0,0.2701767721494397
6,1,0.6763169952490603,1.0,0.1709111494296217
7,1,0.7172259547948535,1.0,0.3422784056073236
8,1,0.6398644204448288,1.0,0.2090438670069908
9,1,0.7386081715376216,1.0,0.3337390967145244
10,1,0.5824278930688452,0.9964047485926062,0.128662588580229
11,1,0.7051800396840624,1.0,0.2518526442916121
12,1,0.707202512883378,1.0,0.3064128657493993
13,1,0.7086054897177083,1.0,0.2827996596550803
14,1,0.7660865358687132,1.0,0.3038430938318275
15,1,0.662475204248711,1.0,0.2462003247024319
16,1,0.739473405659387,1.0,0.297079804346656
17,1,0.8022551313317314,1.0,0.1784061095803952
18,1,0.7612516098948064,1.0,0.3206569772390307
19,1,0.5957893187010632,1.0,0.1573851642271983
20,1,0.5953141537612977,1.0,0.1926937773845577
21,1,0.6418391080885515,1.0,0.2358087762660814
22,1,0.5959939944181648,1.0,0.1778728682159062
23,1,0.7361306378915746,1.0,0.3730439054680185
24,1,0.8139436603725032,1.0,0.3859885168092963
25,1,0.7328770598696033,1.0,0.247188114043019
26,1,0.754223950940909,1.0,0.1827701542540132
27,1,0.5982242252410969,1.0,0.3118162931596329
28,1,0.7113052939122705,0.992947187313446,0.1631090019896137
29,1,0.7784196977760617,1.0,0.1771416951473493
30,1,0.4855948503821194,1.0,0.1313023948591605
31,1,0.7445916096265626,1.0,0.2542281324817239
32,1,0.7117771001593045,1.0,0.2937892069755308
33,1,0.6133499923958828,1.0,0.1647094448693959
34,1,0.6466298876933136,1.0,0.2700949864679241
35,1,0.6806606408876089,1.0,0.3370017974617403
36,1,0.688421246881295,1.0,0.2355606740514607
37,1,0.637570840826555,1.0,0.2707793282296055
38,1,0.6614522739663977,1.0,0.2516670936220082
39,1,0.7218308310541054,1.0,0.2391312169673632
40,1,0.5948678825617734,1.0,0.2446862952165858
41,1,0.660446343455614,1.0,0.2324678519530399
42,1,0.5966683744920122,1.0,0.1096770417368649
43,1,0.7370688004548338,1.0,0.355567492575391
44,1,0.6457171402404984,1.0,0.4060952928626584
45,1,0.7101020856684509,1.0,0.3768642456763884
46,1,0.647830613353483,1.0,0.2970188878783108
47,1,0.466687949187234,0.9890748569433634,0.1116886013041452
48,1,0.7155737173980683,1.0,0.3275475624285414
49,1,0.7432919959160774,1.0,0.3155535437477306
