,Unnamed: 0,heart,chest,blood
0,0,0.4717900320685564,1.0,0.1038928382413762
1,1,0.4558471609671573,1.0,0.1029862693545062
2,1,0.4663036789528715,1.0,0.1020231959183563
3,1,0.4403843489064988,1.0,0.1023856140540097
4,1,0.4616951561311345,1.0,0.1110443177595487
5,1,0.4536813629858187,1.0,0.1018007207824137
6,1,0.4417203161150546,1.0,0.1017014291097107
7,1,0.4477947954232879,1.0,0.1063407952188118
8,1,0.4534376921164539,0.9719925836590572,0.1119337982991499
9,1,0.4650379300780042,1.0,0.1083193214414643
10,1,0.4540173122253056,1.0,0.106024601225909
11,1,0.4536809892698418,1.0,0.1048741100853246
12,1,0.4934581483987487,1.0,0.1049860552164189
13,1,0.4699954156397655,1.0,0.0970214837888148
14,1,0.4480270744195406,1.0,0.1039982527725969
15,1,0.4636940444276525,1.0,0.100865313457351
16,1,0.4411963053060254,1.0,0.1032495778398383
17,1,0.4531343802987889,1.0,0.1043217593151872
18,1,0.5314061180669519,1.0,0.1020406525954583
19,1,0.4503039742840699,1.0,0.1020917672073252
20,1,0.4573641962364164,1.0,0.1028278812481836
21,1,0.5696308032173484,1.0,0.1054038505997996
22,1,0.4635583307416787,1.0,0.1015940244605955
23,1,0.4731073518669139,1.0,0.1051547609123886
24,1,0.4484966786899321,1.0,0.1042569959121134
25,1,0.4683623496077708,1.0,0.0987230562394625
26,1,0.4790067924493683,1.0,0.1058025408430023
27,1,0.5130896993368288,1.0,0.1060388081789919
28,1,0.4570535050259345,1.0,0.1019140356633491
29,1,0.4402087192123058,1.0,0.1006732869730236
30,1,0.510820009104211,1.0,0.100286144046839
31,1,0.4451985440422246,1.0,0.1046208966835733
32,1,0.4471675985325329,1.0,0.1018847705307861
33,1,0.4563806441213403,1.0,0.1056393731369905
34,1,0.4683796950591958,1.0,0.0994624921945829
35,1,0.4476620100773549,1.0,0.098469204993014
36,1,0.4608848138274478,1.0,0.1026958825510175
37,1,0.4566066861201562,1.0,0.1036230677854691
38,1,0.4593858743295996,1.0,0.1044509185079999
39,1,0.4902627959348246,1.0,0.1044283638785912
40,1,0.4874384783097573,1.0,0.1018946027275229
41,1,0.4636518479468127,1.0,0.1043990833696622
42,1,0.4673620682447263,1.0,0.1086241757231262
43,1,0.4699645027016249,1.0,0.1032783709114299
44,1,0.5383593261620963,1.0,0.1104873562260915
45,1,0.4630560659117692,1.0,0.1010676823710283
46,1,0.4619938521864497,1.0,0.1040434816931336
47,1,0.4841165849284731,1.0,0.109480663853054
48,1,0.4562904114101102,1.0,0.109067790652477
49,1,0.5323624626221122,1.0,0.1025939550464481
