bucket,delayline,maglattice,mixed
0.0825104327594698,0.095266533199995,0.5023074554114929,0.0891081466826203
0.082510455774503,0.0952665331996465,0.5023074554264733,0.0891081471557906
0.0825104514030005,0.0952665332008589,0.502307455412948,0.0891081468460659
0.0825104407876958,0.0952665332005382,0.5023074553663486,0.0891081465674611
0.0825104582056633,0.0952665332004436,0.5023074555316506,0.0891081471527902
0.0825106496956765,0.0952665332006435,0.5023074554394868,0.0891081466826867
0.0825105361396246,0.0952665331996077,0.5023074553985608,0.0891081467600936
0.0825106475082203,0.0952665332010851,0.5023074554333326,0.0891081467938643
0.0825104391784709,0.0952665331997637,0.5023074553789937,0.0891081466578998
0.0825133192316754,0.0952665332001436,0.5023074553948332,0.0891081465683082
0.0825105988883741,0.0952665332011501,0.5023074554095174,0.0891081484842505
0.0825105724443165,0.0952665332007913,0.5023074560804859,0.089108148412188
0.0825104348260669,0.0952665332007327,0.5023074553982974,0.0891081484880994
0.0825107977358485,0.095266533200913,0.5023074553793366,0.0891081465380125
0.0825106274916642,0.0952665332011126,0.5023074553810767,0.0891081480790391
0.0825104362185808,0.0952665332004294,0.5023074553750807,0.0891081465805476
0.0825104816758747,0.0952665332002475,0.5023074553914224,0.0891081469561672
0.0825104364211607,0.0952665332003149,0.5023074554854203,0.0891081466027099
0.0825112488859957,0.0952665332011893,0.5023074553866403,0.0891081469165268
0.0825104754005935,0.0952665331997304,0.5023074553797523,0.0891081469952485
0.082510687770467,0.0952665332024762,0.5023074554186816,0.0891081471788769
0.0825104341548502,0.0952665331998375,0.5023074554631414,0.0891081467853512
0.0825104530083525,0.0952665332007246,0.5023074553996982,0.0891081498369752
0.0825109044557753,0.0952665332007249,0.5023074553970521,0.0891081466779636
0.0825112558261068,0.09526653319997,0.5023074553636274,0.0891081466185905
0.0825108182561139,0.0952665332014563,0.502307455404519,0.0891081466457999
0.0825104382467538,0.0952665332004312,0.5023074553808049,0.0891081466059262
0.0825104465107895,0.0952665332011133,0.5023074554102963,0.0891081469867837
0.082510440172918,0.0952665332013051,0.5023074554037735,0.0891081465891774
0.0825104343789969,0.0952665332020438,0.5023074554760998,0.0891081474665325
0.0825104731656861,0.0952665331996249,0.5023074553616477,0.0891081466654414
0.0825107623003805,0.0952665332003497,0.5023074554401081,0.0891081468153686
0.0825104437173518,0.0952665332013123,0.5023074554032616,0.0891081466267054
0.0825104390909604,0.0952665332007215,0.5023074553945883,0.0891081474309352
0.0825104370393704,0.0952665331993772,0.5023074553841985,0.0891081495524218
0.0825108041457919,0.0952665332014001,0.5023074554130057,0.0891081469190801
0.0825104512627973,0.0952665332009227,0.5023074554696206,0.0891081468282222
0.0825104364008584,0.0952665332020507,0.5023074553874395,0.0891081465073121
0.0825104544420049,0.0952665331994906,0.502307455376518,0.0891081469901279
0.0825104692796375,0.0952665332004757,0.5023074554294383,0.0891081467732242
0.0825109320516324,0.0952665331998334,0.5023074554339768,0.0891081468530998
0.0825104329379794,0.0952665332004314,0.5023074554152922,0.0891081467668713
0.0825104378318702,0.0952665331998484,0.5023074553716044,0.0891081466431289
0.0825104740481169,0.0952665331994667,0.5023074554387292,0.0891081470042507
0.0825104688566272,0.0952665332029368,0.5023074554088747,0.089108147051763
0.0825121385416276,0.095266533200734,0.5023074554024747,0.0891081470921415
0.0825104463241651,0.0952665331998778,0.5023074553971489,0.089108148239082
0.0825104498021683,0.0952665332007177,0.5023074553975861,0.0891081468984681
0.0825104474026327,0.0952665331993315,0.5023074555099534,0.0891081467543883
0.0825104735263557,0.0952665332010347,0.5023074555104928,0.0891082365680856
