,Unnamed: 0,bheart,bchest,bblood,dheart,dchest,dblood,mlheart,mlchest,mlblood,mheart,mchest,mblood
0,0,0.4122226656178181,0.9357730064359,0.2226480664223376,0.373848046890774,0.9885447196255862,0.117505161219759,1.0,1.0,0.3441593440646638,0.3612817955274652,0.9356037587171636,0.1172768985765734
1,1,0.4286380298630171,0.9784963661469768,0.1962829942096765,0.429727179127123,1.0,0.1326578027030294,0.3552066452133204,1.0,0.1163902975143441,0.3628248004928036,0.899442750797855,0.1236849913472528
2,1,0.4590682980382948,1.0,0.2073111576612954,0.8408933052949713,1.0,0.4216134439249712,0.3692573562266829,0.8420676427708952,0.1169496635581492,0.3593578420083341,0.8298717747545669,0.119318172501256
3,1,0.4524818032038696,1.0,0.2583164138521979,0.372309881075257,1.0,0.3304901051009868,0.3925670153622661,0.9194578506311356,0.1389159196860157,0.3672033325276465,1.0,0.1205623232824224
4,1,0.4748822648950246,1.0,0.2743374598976178,1.0,1.0,1.0,0.3661433636498055,0.8916802276138066,0.1186045773186125,0.3572721135184145,1.0,0.1131652954282373
5,1,0.4590111414122268,0.9865017538977472,0.2336383287655555,1.0,1.0,0.2532667572600253,0.3710119164871911,0.9894121090194684,0.1263444241588986,0.3585733656636312,0.956784119620626,0.1100062940880581
6,1,0.4427475187973687,1.0,0.282552871898791,1.0,1.0,1.0,0.371512165590375,0.9660904537496696,0.1515912317869786,0.3676959763030306,0.9275232194550816,0.137969191677521
7,1,0.5508022519902342,1.0,0.31711755920608,1.0,1.0,1.0,0.367267637133729,0.932271181219093,0.131252619886946,0.3523439318801733,1.0,0.1144462776896671
8,1,0.4613429319290452,1.0,0.2815230122329012,0.3811691601703963,1.0,0.1345462352067217,0.3914236705253638,0.8934196183260935,0.1400527052471281,0.3595985703141935,1.0,0.1153650199579218
9,1,0.4944887471575442,1.0,0.34289450288165,0.4140727926007091,1.0,0.1882709489271966,0.3775330955977631,0.9045065648502232,0.1441196660375746,0.3542523092163157,0.911889585130906,0.1188669532459354
10,1,0.5153026633346386,1.0,0.3851150884977849,0.4824011534597197,1.0,0.2800895813801023,0.3814150456393734,0.9782065093212112,0.1551159761993328,0.8604126270202046,1.0,0.3808108111293486
11,1,0.4578347113372593,1.0,0.2375222671534706,1.0,1.0,1.0,0.378579984265797,1.0,0.1656178872306647,0.3609796557685383,0.9949449681596249,0.1129124563222178
12,1,0.511325503422409,1.0,0.3613019753094812,0.4355391166644365,1.0,0.1235832718490317,0.3690427826819583,0.9535728897378588,0.1480061372573351,0.3596006192759074,0.9336942758782184,0.1123781827971791
13,1,0.4912140145986003,1.0,0.3125566603204858,0.4097998907383824,1.0,0.1461110475779071,0.3756583089796154,1.0,0.1334469203575297,0.3689744283778122,1.0,0.1198082215945744
14,1,0.4384870932542827,0.9515598925889556,0.2533106738713655,0.901006650192584,1.0,0.1774661611666737,0.3806226690158963,0.9413424697861864,0.1322598176745945,0.3520200315598712,0.9823583428415316,0.1206421941180458
15,1,0.4196348971155078,0.9964680075850832,0.2002509011441834,1.0,1.0,1.0,0.4034035800991411,0.9849751212701986,0.1465751697051069,0.561304960422547,1.0,0.1857482550711931
16,1,0.4239464833077794,1.0,0.2017641569130709,0.3952786687140874,1.0,0.1555921504318156,0.3699924957888769,1.0,0.1248448478632916,0.3642558811170705,0.9523321948236948,0.1158181397702173
17,1,0.4673851694955719,1.0,0.2836954810305048,1.0,1.0,0.4698165925661192,0.4390848590853152,1.0,0.160657348956739,0.3704454451904073,1.0,0.1094352619149186
18,1,0.4432604238172591,0.951983673551834,0.2542253670249061,1.0,1.0,1.0,0.4109260309984772,0.868382913328859,0.1450792172268824,0.3529489556440465,0.8532337153257664,0.113989079272636
19,1,0.4484078068630079,1.0,0.2310230325997767,0.3689029352502707,1.0,0.1362885260261248,0.3834981957628932,0.9178698885203284,0.1530478104575966,0.363053430901545,0.963057729421211,0.1131127344371766
20,1,0.4628916051489761,1.0,0.2456061567997603,1.0,1.0,1.0,0.626244131020156,1.0,0.2823126565777716,0.3419077634399641,1.0,0.1095738537232311
21,1,0.4664349761254379,1.0,0.2638940890917635,0.9723934590161144,1.0,0.4515368763520852,0.4042516343904662,1.0,0.1315745082607477,0.3787008546392187,1.0,0.17650556509568
22,1,0.4572843274507129,1.0,0.3165935854211463,0.6205650308797908,1.0,0.1944807988390755,0.3657046425232936,0.9331198577705028,0.139413276279557,0.3752444768415434,1.0,0.1197229145680219
23,1,0.4949301679951108,1.0,0.3349150322325054,1.0,1.0,1.0,0.3735949848626579,0.931367631709312,0.1296515340371042,0.3558571904046729,0.9542583941816712,0.113593818980613
24,1,0.5085374812624134,1.0,0.3221235432274623,1.0,1.0,1.0,0.3900862904922098,0.9410938202884592,0.1315946946311736,0.3664509915104051,1.0,0.118178548758472
25,1,0.5170976186374053,1.0,0.3191340463856492,0.4167701745754515,0.9554364845941518,0.1442263223759263,0.3708159698665371,1.0,0.125409786258462,0.3693662727840859,0.9568347605449032,0.1150114968837301
26,1,0.4871069697893815,1.0,0.3188911755710984,1.0,1.0,1.0,0.3610592822515835,0.99504839886236,0.1159960469091464,0.3585887082743066,1.0,0.1129166444340053
27,1,0.4086236991514408,1.0,0.202686054186467,0.6290971948609351,1.0,1.0,0.3584155420566057,0.8533241048440464,0.1330808461395151,0.3621623104549301,0.9259291598301632,0.1152098001191942
28,1,0.4661637771712361,1.0,0.2601717078578429,0.4160431933330903,0.8664535435059811,0.1309121231605123,0.5190751375066059,0.906951239811925,0.2301030176716706,0.3683188948890002,0.9612985092292596,0.1170588765252094
