,strain,stest,rtrain,rtest
0,,0.41088501283013634,,0.4541118402394871
1,,0.41521980817956045,,0.9948700826538706
2,,0.4375057363352172,,0.8654237958840342
3,,0.41070325807802505,,0.6275335539219667
4,,0.41823152528227886,,1.4696297649037462
5,,0.4197697900728485,,0.4512675823060794
6,,0.43725048595693844,,0.4311540502033642
7,,0.41961173933936874,,0.9481638331633787
8,,0.42484752720605184,,0.6223796956841124
9,,0.4108672345421789,,1.206309466269132
10,,0.4130053589826437,,0.44211023135854477
11,,0.42083921939589863,,0.4300714210930529
12,,0.42168497964102114,,0.8739181597345582
13,,0.41879697945552463,,0.4879700527533135
14,,0.41850225380773476,,0.4497970108551094
15,,0.4301318182574093,,0.5153564133853221
16,,0.4212594554788251,,1.585773749123526
17,,0.4162444331690364,,1.284375698106022
18,,0.4320657171647663,,0.7935447351716437
19,,0.4155376478604639,,1.5303577362792409
20,,0.42099221173558404,,0.4300765713517429
21,,0.4181119975505313,,0.42559033178520866
22,,0.4163847005546446,,0.7743504254679704
23,,0.427063160322674,,1.4970324554103978
24,,0.420130992103842,,0.44532180999152077
25,,0.4171526766322127,,1.6898017146332676
26,,0.41213008105475857,,0.4545189442319608
27,,0.4139355515479565,,0.42398213776873167
28,,0.41956598664266065,,1.8069077083112637
29,,0.4231607510257321,,0.44603890441837274
30,,0.416154727630234,,0.9014199887087396
31,,0.42954059063390493,,1.35875095203564
32,,0.42435619205160674,,0.4299304974971156
33,,0.4140786823062045,,0.6312494440073373
34,,0.41588396292565194,,1.1925196188616305
35,,0.4318024981164102,,1.755764112392608
36,,0.4122894218269039,,0.876903183523612
37,,0.42461093194313476,,0.8664714372643694
38,,0.4132358717367737,,0.6706370769426044
39,,0.4099873923857463,,1.4644829629924672
40,,0.41719189432122455,,0.8834512986795477
41,,0.4185105474099419,,1.2584900901483633
42,,0.43673527035911286,,0.585041332891615
43,,0.42520573036676806,,1.4992919980359767
44,,0.44042341358114634,,0.4686228914510714
45,,0.41911511900286785,,0.4527104617329307
46,,0.4311771125804043,,0.9949823752192231
47,,0.413219824108153,,0.43826966863966044
48,,0.4199873772559388,,1.377901084720453
49,,0.41670862237803863,,0.5085809246189844
