,bucket,delayline,maglattice,mixed
0,2.4557445811728678,2.438123833989028,2.508958301860301,2.4664594827689803
1,2.4557445811430285,2.438123834022657,2.5089583018779695,2.466459479717413
2,2.4557445811665795,2.438123834030028,2.508958301845628,2.466459481638457
3,2.4557445811708005,2.438123834042465,2.508958301840787,2.4664594787725767
4,2.45574458115753,2.438123834025342,2.5089583018461252,2.4664594789006786
5,2.4557445811746894,2.438123834007295,2.508958301893681,2.4664594806526328
6,2.455744581163515,2.4381238340106526,2.5089583018705737,2.4664594830775264
7,2.4557445811191454,2.4381238340272544,2.508958301856715,2.466459484378854
8,2.4557445811472896,2.43812383400402,2.508958301863596,2.466459480811886
9,2.4557445811402014,2.4381238340013853,2.508958301870963,2.466459478963222
10,2.45574458115575,2.4381238339902254,2.508958301865073,2.466459484413855
11,2.4557445811520116,2.438123834015218,2.508958301809104,2.466459479381482
12,2.455744581156814,2.4381238339800126,2.5089583018403534,2.4664594821583843
13,2.455744581138128,2.438123834014803,2.5089583018745647,2.4664594821463046
14,2.4557445811263565,2.4381238340209204,2.508958301855992,2.466459481783263
15,2.4557445811495526,2.438123834017418,2.508958301856769,2.466459483838779
16,2.4557445811310337,2.4381238340375258,2.508958301866686,2.4664594823672186
17,2.45574458121063,2.438123834022449,2.508958301859581,2.466459481884682
18,2.455744581155782,2.438123834012418,2.508958301861828,2.4664594831701905
19,2.4557445811770906,2.438123834004722,2.50895830184405,2.4664594818703782
20,2.4557445811612326,2.438123834003969,2.508958301854311,2.466459482529136
21,2.455744581145874,2.4381238340385907,2.508958301870949,2.466459480349027
22,2.4557445811882745,2.438123834048452,2.5089583018252246,2.4664594786053566
23,2.4557445811630254,2.4381238339994784,2.508958301859484,2.46645948363
24,2.4557445811511585,2.438123834003181,2.508958301841652,2.4664594820398347
25,2.455744581164356,2.4381238340457965,2.508958301860743,2.4664594817884797
26,2.4557445811443954,2.4381238340142315,2.50895830187467,2.466459482344331
27,2.4557445811492356,2.438123834042218,2.5089583018581125,2.4664594854294903
28,2.4557445811662957,2.438123834011107,2.50895830186302,2.466459484111315
29,2.4557445810932417,2.438123834140037,2.5089583018271915,2.4664594790288534
30,2.455744581128932,2.4381238340116838,2.508958301857937,2.4664594792942105
31,2.455744581141551,2.4381238340234197,2.5089583018419868,2.4664594806777194
32,2.455744581158652,2.4381238339890143,2.5089583018726147,2.466459483269465
33,2.4557445811680587,2.4381238340364333,2.5089583018383554,2.4664594815117846
34,2.455744581151197,2.4381238340147067,2.5089583018752593,2.4664594814934158
35,2.455744581154768,2.438123834012646,2.5089583018394084,2.4664594801938766
36,2.45574458115744,2.438123834047187,2.5089583018607207,2.466459480654893
37,2.455744581172114,2.4381238340323446,2.5089583018490775,2.466459483505692
38,2.4557445811668837,2.4381238339902254,2.508958301853963,2.4664594838743
39,2.455744581154639,2.438123833996825,2.5089583018843085,2.4664594839018066
40,2.4557445811335814,2.4381238340284517,2.508958301858064,2.46645948384844
41,2.455744581175998,2.4381238339743976,2.508958301844942,2.466459482837928
42,2.455744581146056,2.438123834034202,2.5089583018454342,2.4664594843916072
43,2.4557445811542657,2.438123834010408,2.508958301870818,2.466459480449298
44,2.455744581167588,2.4381238340594455,2.5089583018325987,2.466459476580156
45,2.4557445811621466,2.4381238340307174,2.508958301849669,2.4664594812250864
46,2.455744581169273,2.438123834036173,2.5089583018498662,2.4664594850841843
47,2.4557445811623726,2.4381238340140388,2.5089583018511923,2.4664594812618135
48,2.455744581180139,2.438123833993179,2.508958301808902,2.466459482712668
49,2.4557445811711682,2.438123834006433,2.508958301855103,2.4664594829496655
