,bucket,delayline,sdelayline,maglattice,mixed,mixed-symmetrical
0,0.01080374925707938,0.005748520381862013,0.005858314090555579,0.526693434906514,0.02235789416289442,0.041849453277326136
1,0.011147585232795593,0.008413104420331536,0.01405544933281967,0.7860103307845837,0.020787032687660634,0.02104150397018073
2,0.005042909998003003,0.01699152238244221,0.016188915430113953,1.1231901400655024,0.026374263532365175,0.024491114307840206
3,0.002963092943149218,0.021008388125875282,0.02426891408184719,0.47693035634164743,0.0494238652490617,0.05363306679553561
4,0.00983516430620377,0.007749075719884912,0.00383755397785846,0.26682241335948204,0.0551181827279564,0.009441184354095316
5,0.01181835074996419,0.007980122864934661,0.023136023337039895,0.058308898793075666,0.02312732281228835,0.014709495806359494
6,0.008690143281566311,0.005810274098819202,0.0055711573438474654,0.09263913720310935,0.04597091398842261,0.017697025883484457
7,0.006227319370297835,0.012531541380106708,0.014362168481234934,0.5473934523259868,0.010146209483343502,0.01229099111192903
8,0.015905832396220575,0.0205213579903551,0.011262977160820755,0.4712035312396009,0.03365226893906774,0.015393008619093292
9,0.004011354116585357,0.03240486123999437,0.036818250720430074,0.09121932497125362,0.012329560342680058,0.008947602447416228
10,0.0053851441558201854,0.006619613791840332,0.005513367284869734,0.17098764589622412,0.043923997608959445,0.050879223668379166
11,0.003341535462868438,0.009753976480729076,0.0098758936732118,0.582717265226937,0.02049941742944437,0.021048015451775114
12,0.005587169726087847,0.010057371405340123,0.011720102721715128,0.20933890382188333,0.0037147359434269328,0.004495641683317779
13,0.0031381989509728404,0.009662855028089121,0.013407110102994713,0.039206328668971197,0.025829204822981677,0.015513581281550738
14,0.003358606155375236,0.007604558955806964,0.007262971099504077,0.04469666456221275,0.008288261432499224,0.00935353495893013
15,0.002849219907530705,0.006659479522655513,0.009339225720779401,0.07010449574034187,0.007465341008716481,0.0072623222914763
16,0.005555241682166923,0.053350930867596735,0.06158611572293629,1.5797196481630602,0.06394937039946068,0.05596228912955759
17,0.006430492081701776,0.023783053704145504,0.015632602821966934,1.390576105390465,0.011033388492461951,0.00881613261367808
18,0.0031480332788716148,0.015251825169886038,0.012700054238491073,0.699388735953118,0.011292225031046751,0.01131880575193111
