,bucket,delayline,maglattice,mixed
0,1.0,1.0,0.2585453986658886,0.2465417279335175
1,1.0,1.0,0.4923852482700415,0.2948103749404851
2,1.0,1.0,1.0,0.3714074759791705
3,1.0,1.0,0.5356044708936674,0.5037077797138306
4,1.0,1.0,0.1714633084834924,0.3424155121872912
5,1.0,1.0,0.2638299013973719,0.3912312063289728
6,1.0,1.0,0.4864653433016577,0.2606648099461262
7,1.0,1.0,0.3505606973442319,1.0
8,1.0,1.0,0.2027725662147599,0.293344796506247
9,1.0,1.0,0.1070869369544726,0.4597138592312408
10,1.0,1.0,0.1750289828156774,0.46528480560922
11,1.0,1.0,1.0,1.0
12,1.0,1.0,0.6321654921358851,0.1049741741542982
13,1.0,1.0,0.118258970732871,0.6194236610262424
14,1.0,1.0,1.0,0.3335953136657141
15,1.0,1.0,1.0,0.1725779044362278
16,1.0,1.0,0.3518433738760085,0.4176658184589285
17,1.0,1.0,0.6077239743201034,0.2424486496659267
18,1.0,1.0,0.3405914281948142,0.5951965384305963
19,1.0,1.0,0.4011119331370023,1.0
20,1.0,1.0,0.2441430461414811,0.3288597653334828
21,1.0,1.0,0.1546938896367966,0.3070389885764277
22,1.0,1.0,1.0,0.5599409761945303
23,1.0,1.0,0.2008334483414057,0.3423410127774735
24,1.0,1.0,0.2316355256747699,0.1208219385531027
25,1.0,1.0,1.0,0.3844624584765858
26,1.0,1.0,0.5199605356481928,0.4732170435027307
27,1.0,1.0,0.2109178546643598,0.648794386180795
28,1.0,1.0,0.4410958378551854,0.6347415900398587
29,1.0,1.0,1.0,0.4357138971500186
30,1.0,1.0,0.244073970573029,0.3732445503141655
31,1.0,1.0,0.5793652862874564,0.2659052707170438
32,1.0,1.0,0.6335915826333589,0.4433238672537459
33,1.0,1.0,0.3398686758182115,0.4136349747502466
34,1.0,1.0,0.2254603289394523,0.362045297364152
35,1.0,1.0,0.1387682706451737,0.3436716868851244
36,1.0,1.0,0.1073184733508646,0.3461040337900996
37,1.0,1.0,0.1993730473607305,0.6715767453378054
38,1.0,1.0,0.3104158849861157,0.1686823326822033
39,1.0,1.0,0.2542406086331941,0.504787571402553
40,1.0,1.0,0.5107227274760257,0.3837438659325319
41,1.0,1.0,0.1865779103565773,0.2211533776911983
42,1.0,1.0,0.5824814459189643,0.4125526836332487
43,1.0,1.0,1.0,0.3955399342473155
44,1.0,1.0,0.1536478728843225,0.6964513429454104
45,1.0,1.0,0.1185597786657548,0.788555874132927
46,1.0,1.0,0.1339294649528302,0.3070799406068515
47,1.0,1.0,1.0,0.7359011110777569
48,1.0,1.0,0.237190503812994,0.3704003551446029
49,1.0,1.0,1.0,0.5339268572074369
