,bucket,delayline,maglattice,mixed
0,1.0,1.0,1.0,0.2563485752042621
1,1.0,1.0,1.0,0.5507160053271428
2,1.0,1.0,0.5558081949571196,0.4308156743766573
3,1.0,1.0,0.3845674404821504,0.6296300166296904
4,1.0,1.0,0.2566397337536437,0.516834449211396
5,1.0,1.0,0.3842921137294219,0.4651604215678498
6,1.0,1.0,1.0,0.3648673698038163
7,1.0,1.0,0.8043742815568096,1.0
8,1.0,1.0,0.6258714489459737,0.629027099263864
9,1.0,1.0,0.1885105763344514,0.3957076116281803
10,1.0,1.0,0.1351196080141449,0.6688767249648537
11,1.0,1.0,1.0,0.4903754294420139
12,1.0,1.0,0.6641175080610754,0.1916008609205976
13,1.0,1.0,0.5578624159183684,1.0
14,1.0,1.0,1.0,0.4870204097923613
15,1.0,1.0,0.5551221252809727,0.3258305134568766
16,1.0,1.0,1.0,0.300495799304344
17,1.0,1.0,1.0,0.342510108748972
18,1.0,1.0,0.5259022200928565,0.5166356818877943
19,1.0,1.0,0.378653062318694,1.0
20,1.0,1.0,0.543233377192115,0.4190129856735982
21,1.0,1.0,0.3136297176677731,0.494564525183554
22,1.0,1.0,0.5210742168790138,0.4935778482860941
23,1.0,1.0,0.2582733901882584,0.3779036055483061
24,1.0,1.0,1.0,0.3055988750933928
25,1.0,1.0,1.0,0.7279003376718013
26,1.0,1.0,1.0,0.5339018922390975
27,1.0,1.0,1.0,0.5296997901802191
28,1.0,1.0,1.0,0.6599158199153239
29,1.0,1.0,1.0,0.6268699580144931
30,1.0,1.0,0.3956155948545624,0.6170897395563563
31,1.0,1.0,1.0,0.3547609670077463
32,1.0,1.0,1.0,0.4808621678036992
33,1.0,1.0,1.0,0.5990687116781095
34,1.0,1.0,0.9156204572707088,0.8167413082694812
35,1.0,1.0,0.1830320493758773,0.4740942701101452
36,1.0,1.0,0.2877457539372343,0.4700636267734029
37,1.0,1.0,1.0,0.5871571789041742
38,1.0,1.0,1.0,0.2005433074232545
39,1.0,1.0,0.8735117073379801,0.6732126475018638
40,1.0,1.0,1.0,0.4044141486323091
41,1.0,1.0,0.1500552986251564,0.5317650376369245
42,1.0,1.0,1.0,0.3601984920380773
43,1.0,1.0,1.0,0.5818579952381716
44,1.0,1.0,1.0,0.8039823937611518
45,1.0,1.0,0.1730500062227854,0.5334991745334562
46,1.0,1.0,0.1437208877404703,0.2260788981968102
47,1.0,1.0,0.5432786734690949,0.487362171633979
48,1.0,1.0,0.324121046846448,0.4668080614304515
49,1.0,1.0,1.0,0.3703896597684969
