,bucket,delayline,maglattice,mixed
0,1.0,1.0,1.0,0.894015510339609
1,1.0,1.0,0.978548995241822,0.9073446607225876
2,1.0,1.0,1.0,0.985945800720596
3,1.0,1.0,0.8558291435626207,1.0
4,1.0,1.0,0.9122138414290418,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,0.8841023513260028,0.961525625477651
7,1.0,1.0,0.8910284931771749,1.0
8,1.0,1.0,0.8284438473828886,1.0
9,1.0,1.0,1.0,0.9604267480182402
10,1.0,1.0,0.9807269900424312,1.0
11,1.0,1.0,0.8791158991119754,1.0
12,1.0,1.0,1.0,0.9245268922574144
13,1.0,1.0,0.9164654040977606,1.0
14,1.0,1.0,0.9147296459179298,0.95436115069252
15,1.0,1.0,0.902528736533288,1.0
16,1.0,1.0,0.8544963014563058,0.8901775657109952
17,1.0,1.0,0.8960387170263842,1.0
18,1.0,1.0,0.974921084384382,0.9547618058463508
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,0.9658860974593296
21,1.0,1.0,0.9293780174109352,1.0
22,1.0,1.0,0.91591943412955,0.9705447881471906
23,1.0,1.0,1.0,1.0
24,1.0,1.0,0.9316197869498432,1.0
25,1.0,1.0,0.8968703618830458,1.0
26,1.0,1.0,0.9235229706454698,0.9247901820221132
27,1.0,1.0,0.993033144934146,1.0
28,1.0,1.0,0.8420437070032896,1.0
29,1.0,1.0,0.9117153935701752,0.9516038958476328
30,1.0,1.0,0.9619359549604066,1.0
31,1.0,1.0,1.0,0.916100959896334
32,1.0,1.0,0.8744588332981712,1.0
33,1.0,1.0,0.9269574470013884,1.0
34,1.0,1.0,0.9252077158314876,0.9416132112806558
35,1.0,1.0,0.9120913930498342,1.0
36,1.0,1.0,1.0,1.0
37,1.0,1.0,0.9091947044686526,0.919473104707453
38,1.0,1.0,0.9179062231087528,0.9996833253592164
39,1.0,1.0,0.9491816005719476,1.0
40,1.0,1.0,0.9592447892134442,1.0
41,1.0,1.0,0.8753610762785776,1.0
42,1.0,1.0,1.0,0.9381189471035926
43,1.0,1.0,0.8981931836729387,1.0
44,1.0,1.0,0.9600067810597274,0.9876119691564698
45,1.0,1.0,0.8577814632125347,1.0
46,1.0,1.0,0.916858317017251,1.0
47,1.0,1.0,0.882810827644641,1.0
48,1.0,1.0,0.8783052207569795,1.0
49,1.0,1.0,0.9575634387609476,0.9729104351127352
