,bucket,delayline,maglattice,mixed
0,1.0,1.0,0.6900299179575875,0.7260970135966084
1,1.0,1.0,0.6210604109400759,0.7617956260786812
2,1.0,1.0,0.6501540641086228,0.7786214871956089
3,1.0,1.0,0.8473122822086907,0.8044114560715143
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,0.9206782791386586,0.7340900869395546
7,1.0,1.0,0.7038850269123829,0.9357158001044248
8,1.0,1.0,1.0,1.0
9,1.0,1.0,0.6435495300348172,0.807566843418093
10,1.0,1.0,0.8216038110977072,1.0
11,1.0,1.0,0.640660164651756,0.7898798730020262
12,1.0,1.0,0.6283256046622686,0.7027192456456859
13,1.0,1.0,1.0,1.0
14,1.0,1.0,0.6645203459589222,0.7569762380310404
15,1.0,1.0,0.6732422082462995,1.0
16,1.0,1.0,0.6723984189030305,0.7303616568662876
17,1.0,1.0,0.8332752743313284,0.6928337174111732
18,1.0,1.0,0.6760038981758303,0.7967306662463315
19,1.0,1.0,0.6892185137465029,1.0
20,1.0,1.0,0.6634507234453564,0.6970408493584532
21,1.0,1.0,0.65570516993753,1.0
22,1.0,1.0,0.640068244882927,0.7834309146039259
23,1.0,1.0,1.0,1.0
24,1.0,1.0,0.6396485646320764,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,0.6528310703929366,0.7634817741630079
27,1.0,1.0,1.0,1.0
28,1.0,1.0,0.6110977152964057,0.8575764911134727
29,1.0,1.0,0.6627501354600459,0.8184896907326001
30,1.0,1.0,0.9149766448157234,0.8712004781701207
31,1.0,1.0,0.7039855957053941,0.7483249745779502
32,1.0,1.0,0.7111312443019331,1.0
33,1.0,1.0,0.6427101011803543,1.0
34,1.0,1.0,0.6501003984642998,0.7178990577525346
35,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0
37,1.0,1.0,0.6853130333295236,0.7924215490626394
38,1.0,1.0,0.6555788415060048,0.7183820390606798
39,1.0,1.0,0.6412947690057493,1.0
40,1.0,1.0,0.9769375264466628,1.0
41,1.0,1.0,1.0,1.0
42,1.0,1.0,0.7816367396192659,0.7324203127848996
43,1.0,1.0,0.6979993523459807,1.0
44,1.0,1.0,0.6622023659547754,0.8399418285168472
45,1.0,1.0,0.7291706250605564,1.0
46,1.0,1.0,0.6925771314670622,1.0
47,1.0,1.0,0.6672750836822606,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,0.659321147689433,0.8109071824239035
