,bucket,delayline,maglattice,mixed
0,1.0,1.0,0.8241425462632941,0.4495980911586908
1,1.0,1.0,0.3121844270182218,0.3283176269919211
2,1.0,1.0,0.3085556094210325,1.0
3,1.0,1.0,0.2466864651908533,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,0.4309943156147227
7,1.0,1.0,0.3750525255116739,1.0
8,1.0,1.0,0.1564636951508942,1.0
9,1.0,1.0,0.9297627896341112,0.9209696581262206
10,1.0,1.0,0.5168438944842811,1.0
11,1.0,1.0,0.2319459319147244,1.0
12,1.0,1.0,0.6094942783053685,0.2452210625320849
13,1.0,1.0,0.2470566641881108,1.0
14,1.0,1.0,0.2621617407986165,0.5720054650922146
15,1.0,1.0,0.3960901908673007,1.0
16,1.0,1.0,0.47453578935453,0.4549382259976768
17,1.0,1.0,0.3841221301435492,0.899547855350292
18,1.0,1.0,0.2833804547872768,1.0
19,1.0,1.0,0.3064850601227725,1.0
20,1.0,1.0,0.4225537681037552,1.0
21,1.0,1.0,0.6472526858521047,1.0
22,1.0,1.0,0.567544390762649,1.0
23,1.0,1.0,0.8679051464592055,1.0
24,1.0,1.0,0.254557796928481,1.0
25,1.0,1.0,0.2955996331531929,1.0
26,1.0,1.0,0.2799885714272603,0.820736842734493
27,1.0,1.0,0.2475164487234753,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,0.1943237326125323,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,0.4317372136544367,0.5648012323535869
32,1.0,1.0,0.5554413306180399,1.0
33,1.0,1.0,0.5214874695593077,1.0
34,1.0,1.0,0.3486150807655597,0.7689950106876059
35,1.0,1.0,0.2256658114855226,1.0
36,1.0,1.0,0.3937569724574773,1.0
37,1.0,1.0,1.0,0.9305177245182532
38,1.0,1.0,0.6989022372009692,0.4012238122923361
39,1.0,1.0,0.3001556404288327,1.0
40,1.0,1.0,0.4874939981342082,1.0
41,1.0,1.0,0.6002469579127582,1.0
42,1.0,1.0,1.0,0.726434483479603
43,1.0,1.0,0.6604909900086849,1.0
44,1.0,1.0,0.2881978113694579,1.0
45,1.0,1.0,0.2983620354775111,1.0
46,1.0,1.0,0.2488499541460593,1.0
47,1.0,1.0,0.7349103700466186,1.0
48,1.0,1.0,0.6930445830829327,1.0
49,1.0,1.0,0.2334751540431577,1.0
