,bucket,delayline
0,0.006170960928177372,0.0012707963763083396
1,0.004882249542602786,0.00204920745142681
2,0.014430312826798243,0.0017131071307756901
3,0.00895278505322793,0.022845532558428285
4,0.0037017296897504572,0.003396923476761666
5,0.0026070319508960434,0.0025690616385382636
6,0.004361465040020069,0.0023518743211050747
7,0.009347246816648004,0.006460090946842136
8,0.028566048495719875,0.00257486274118904
9,0.0017930615490169169,0.11769886821690034
10,0.01510462561948634,0.0012940612670712059
11,0.0068769829597632596,0.0011385694369662428
12,0.0015845035316940479,0.0013485053086492807
13,0.007284466942512696,0.0011447618678226523
14,0.0021578586041365463,0.001844463389122153
15,0.004532271442788317,0.0016716286817341634
16,0.010567847071409557,0.0018316680204792865
17,0.023947524925733283,0.0012667827083302184
18,0.01995814757011624,0.001122592019110834
19,0.008592923341129904,0.0014426025279598424
20,0.0016916474544427123,0.005049570611590591
21,0.013813828762082815,0.01057105384626377
22,0.028636161172250502,0.004085654342834917
23,0.02839910439605454,0.011516099560806379
24,0.0038649969028769797,0.0021665495742113332
25,0.0092023878475183,0.010832438851111502
26,0.00539199044585682,0.006139682240495233
27,0.015524607159324237,0.001811125929174643
28,0.017915614666765906,0.0015746815427908018
29,0.015941927960429786,0.007451111449548494
30,0.021283302201244133,0.0021411692259241375
31,0.007504172890068357,0.003128177161472648
32,0.018448843285179237,0.0013539762833228543
33,0.008897445090102568,0.0015002668645084404
34,0.008477070716656711,0.0011388621247193991
35,0.0013377884193995215,0.002767843498124226
36,0.004077712517140496,0.0016528020147995445
37,0.005010746878623555,0.0012403560240748454
38,0.0067510795730521276,0.001642165800187573
39,0.0047461245143696415,0.001989147294007916
40,0.004554639502977888,0.002076592889365216
41,0.005765589364941802,0.0027707264780254363
42,0.005967657023484189,0.0030787118914658877
43,0.0027582207814440696,0.0017283302239729066
44,0.007667769570303067,0.01272059684965932
45,0.0026357208575415775,0.007349780652479127
46,0.003184036079909949,0.0028328276637309847
47,0.004855636086909321,0.002988612660080507
48,0.009306469317544995,0.0019423249497844681
49,0.021285017910433905,0.0446710567705014
